trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999994518955501}",20,0,-146.85023293550546,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999978075828011}",20,0,-136.64969001502965,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999950670635557}",20,0,-54.12997968716277,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999912303408178}",25,0,-113.00467984551807,"{0: 10, 1: 7, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999862974187935}",30,2,-83.10853654674769,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9999802683028903}",25,0,-176.4959929234568,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999731429997173}",25,0,-231.7851385514031,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9999649215170853}",25,0,-164.35742283591813,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999556038640067}",20,0,-93.66662919334564,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999451900506957}",20,5,-135.11813859144377,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.9999336800885681}",30,0,-210.88485289320394,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.999921073990241}",25,0,-94.97616578994857,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999073717695335}",20,0,-88.95092459358959,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.999892573441466}",20,0,-249.15451798658447,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
