trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998767575315342}",20,0,-62.014061300503755,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9995070605035489}",20,0,-121.37679083280602,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9988910000407927}",20,4,-94.50284287215382,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9980287279928899}",20,0,-117.17092544276622,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9969204568969118}",20,0,-158.2648363053418,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9955664599249897}",20,0,-153.10295968967992,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9939670708169818}",25,0,-114.81347222519406,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9921226837982114}",20,0,-77.00054551702578,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9900337534822967}",20,0,-181.31502382551102,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9877007947590948}",20,0,-161.47796965804275,"{0: 6, 1: 2, 2: 10, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9851243826677893}",30,0,-270.07849575636675,"{0: 15, 1: 1, 2: 8, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9823051522551522}",30,0,-174.4535361594994,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.979243798419014}",20,0,-118.92974486854472,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9759410757369817}",25,1,-142.975674036636,"{0: 17, 1: 0, 2: 2, 3: 3, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9723977982804476}",25,0,-176.94661600102913,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9686148394139318}",30,0,-184.44361887646946,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9645931315798121}",25,0,-117.05007389246362,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
