trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-120.72787913574831,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,0,-38.921199108708166,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,-58.002911513254475,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,7,-47.601704799695625,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,0,-135.61587705878188,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-76.1632231017403,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",30,0,-165.5491570596482,"{0: 18, 1: 1, 2: 6, 3: 4, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-60.8563739797888,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,0,-45.19272043438273,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,13,-28.527993511191028,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,3,-51.5674663870859,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.960170286650366}",25,0,-188.69861167068686,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",30,0,-128.47471427021526,"{0: 17, 1: 5, 2: 4, 3: 4, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-87.94567534062539,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,0,-37.914739808769475,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",30,20,17.321231670328114,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",25,0,-28.25103117345223,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,0,-153.29344583936356,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",35,0,-207.57264923419118,"{0: 22, 1: 1, 2: 7, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,0,-146.0095134351514,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",20,6,-23.08959444962412,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.004425697988050785}",20,12,15.544295824363406,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",25,0,-31.28251882138278,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",20,0,-207.38040318333674,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",20,0,-116.26466624496075,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",20,7,-9.957665868030126,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.594920663309892}",20,0,-133.0192609358797,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",25,15,17.09584893692629,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.354924266788705}",25,0,-44.843461667788496,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7596879128588213}",20,0,-70.52997950455358,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9784534628188842}",20,0,0.6753782141655218,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9576594803233847}",25,0,-140.7435765460582,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7023970575027135}",20,0,-15.585849102056045,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.27516333805159693}",30,0,-23.985128385375145,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.2194399632114593}",35,10,34.934184069255885,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6603167082440802}",20,0,-60.597966782232994,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.939524893748256}",20,14,-4.734717324409136,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9887046181866692}",20,0,-100.93255672280728,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.7958149698139441}",20,0,-39.000981251806316,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.408082061813392}",20,10,6.65612292032753,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.07956356727854007}",20,3,25.142587664323127,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.5477292602242684}",35,0,-98.85034071000348,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",30,0,-26.796493975843003,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9999608263946371}",25,0,-189.89914654074238,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.8733046400935156}",20,0,-63.12837615595002,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.5328330203333975}",25,0,-111.2425406104921,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.061905293994420546}",35,14,19.21650266670786,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.424179007336997}",30,0,-90.17628926868005,"{0: 21, 1: 0, 2: 6, 3: 3, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.8064094939122546}",25,0,-186.17991977128534,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9912028118634736}",30,0,-191.5536059287152,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.933315112063922}",25,11,-89.79597880270686,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
52,False,"{'a': 0.5, 'e': 0.6469193223286404}",20,3,-18.792346262354727,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.20213512038718198}",30,16,-42.31091016863804,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.2921388087338362}",20,9,-29.29729191462604,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.7148869687796651}",20,0,-7.890078362661612,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9626058663135666}",20,0,-117.99266423200405,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9746452757206577}",20,0,-149.07155515765666,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7480575296890004}",20,2,-37.58947174916124,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.3383192109710552}",20,11,-4.408940631637706,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.15425144988758405}",30,15,18.525443090300598,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6090559761063562}",20,11,3.152849210414489,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9147423578045313}",20,0,19.848179765872366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9964679075571249}",25,0,-127.48457631852378,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.8342233605065102}",20,0,-40.71399330504151,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.4677318402470736}",20,12,-12.700457595867299,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.013276747223059479}",25,17,-27.903124242925774,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.49103472393024045}",25,0,14.143905929873524,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.8485702747846052}",25,1,-111.88456744106496,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.9983462274487422}",20,0,-52.83456939349968,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9036922050915067}",30,0,-83.1742222366952,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.587782813560387}",25,0,-42.10838507232359,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.12796368962740468}",25,8,9.298438747826955,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.36318540841606234}",30,11,-13.342836208052761,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.7654140519453433}",20,0,-48.194374826466145,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9802426408101081}",20,0,-176.76363131101812,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.9550736440472949}",30,0,-131.33241079386124,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6960693098638897}",25,0,-195.7234636444101,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",1
78,False,"{'a': 0.5, 'e': 0.26664293235993725}",20,7,-27.349475203794945,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.22806693448309956}",25,4,17.22866625836191,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6669380616522619}",30,8,-154.71917006145804,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 3}",1
81,False,"{'a': 0.5, 'e': 0.9425194910508831}",25,0,-54.04733508815861,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9873392775238264}",20,0,-43.773513527938924,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.7904239741978156}",25,20,10.540216291633833,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.39998531498835127}",25,12,-10.75391787284472,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.08838369930580554}",35,21,22.68403367739164,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5551133015206257}",30,21,-6.601379853384497,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.8859318072699817}",20,0,-66.8300566974475,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9998433086476912}",20,0,-205.3735189175688,"{0: 8, 1: 4, 2: 3, 3: 2, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.8689582973139933}",25,0,-197.64209776626458,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.5253219888177297}",25,16,-3.5979210985790377,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.05306853621402457}",25,15,19.281827763293375,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.4321779448847783}",30,21,7.046348892737993,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.8116121923430246}",25,7,-108.53484320075684,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.9923354691509287}",25,0,-178.95598058493067,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
95,False,"{'a': 0.5, 'e': 0.9301004142012892}",20,0,-140.82064592945204,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.6401443394691997}",30,20,-14.106189053822819,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.1934586046207122}",20,12,-25.244304326679057,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.3005925437436371}",20,13,-1.051928621623879,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
