trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-4.076202184936188,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.25}",30,0,-143.91381848707647,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-35.75119162020697,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-111.6944930038302,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.04}",30,6,10.053214723782851,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,1,-111.25009895470038,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,0,-80.78115509544749,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,0,8.843451870855297,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,-70.87502836986462,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,0,-6.245081191942905,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",30,17,-4.066617330758197,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",30,0,-26.087506599704444,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,5,0.5520984266488634,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,0,10.04276745224094,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,5,7.975068974583165,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,30.60440735540327,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,11.042837349283563,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,3,29.866953293641302,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,0,22.259871860607813,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0025}",25,4,23.289756387235517,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",20,0,26.973347894342076,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,0,-35.28553382676247,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",25,0,31.45381784277899,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",20,0,32.151951789887164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0016}",20,0,-16.921839270170814,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",25,0,5.536123246561521,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",20,10,20.377336911813273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",30,0,38.50103980271419,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",25,0,36.40679752783445,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",25,2,20.73743129519569,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",20,5,21.96747089909145,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,24.91154023167889,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.0009182736455463728}",20,0,26.59852767094037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.0008650519031141869}",25,5,30.116898408204435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.0008163265306122449}",25,0,38.9920622500227,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.0007716049382716049}",20,6,26.74491442086594,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.0007304601899196494}",25,0,34.78696208426713,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.0006925207756232687}",20,0,31.659397851806965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.0006574621959237344}",25,0,29.844588426084854,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.000625}",25,7,24.16874757996677,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.000594883997620464}",25,0,15.096558822491248,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.0005668934240362812}",25,0,36.49821987622935,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.0005408328826392645}",25,0,29.033132443309064,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.0005165289256198347}",25,0,34.674788432561876,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.0004938271604938272}",20,4,23.986190567295104,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,16.44370281105509,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,5,25.84742500626382,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-8.27298744671633,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-12.62931651227135,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,43.36776398213279,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,25.352563616401646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,19.165414990410174,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,15.313209477762232,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,34.41903964877044,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,30.384024597752475,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,0,31.252115799149344,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",25,4,-7.505669217536253,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,0,29.70453572143038,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.0, 'e': 0.0}",30,13,32.64295528715013,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",25,6,32.559069649769256,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,0,7.921785615877932,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",25,0,30.478251722862762,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.0, 'e': 0.0}",25,0,8.355324300707888,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.709981377805125,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,16,7.256067604270092,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",35,24,12.923659674785975,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",25,0,17.773505872296397,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,True,"{'a': 0.0, 'e': 0.0}",25,0,30.45145243784403,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",25,17,11.767266355702006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",25,2,30.7157302811707,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",25,1,33.46294792249488,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",20,0,21.869757102287714,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",20,0,22.521164582981797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",30,8,37.500661884874745,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",20,11,7.132095544985296,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",20,0,26.88696563303992,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,27.819015864187154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",30,0,13.453984471895808,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,0,25.994485197472688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0.0, 'e': 0.0}",20,10,16.23280718882593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",25,0,37.00417785246652,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,True,"{'a': 0.0, 'e': 0.0}",20,12,10.668734076558634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",20,0,29.684695228652693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,True,"{'a': 0.0, 'e': 0.0}",35,19,21.161492118710918,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",20,0,28.207957311826632,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0.0, 'e': 0.0}",30,0,43.632225434353145,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,True,"{'a': 0.0, 'e': 0.0}",30,0,-95.93945890587933,"{0: 26, 1: 0, 2: 0, 3: 2, 4: 2}",0
43,True,"{'a': 0.0, 'e': 0.0}",25,0,31.50217839922173,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0.0, 'e': 0.0}",20,0,10.902472675645832,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
